unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
196307,Upstate Medical University,www.upstate.edu/,Syracuse,New York,Public,Special Focus: Medical Schools and Centers,Not Classified,Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Special Focus: Medical Schools and Centers,Special Focus: Medical Schools and Centers,Small,Highly residential,Doctorate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429128,Urban College of Boston,www.urbancollege.edu/,Boston,Massachusetts,Private not-for-profit,Professions-focused Associate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Small,Primarily online,Associate,Not Classified,Not Classified,https://www.urbancollege.edu/academic-programs-2,score=274;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=1;canonicalHub=0;flags=,exceptions_seen,https://www.urbancollege.edu/college-transfer-pathways|https://www.urbancollege.edu/associate-degrees-overview|https://www.urbancollege.edu/board-of-trustees|https://www.urbancollege.edu/administration|https://www.urbancollege.edu/foundation,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,5,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/urban-college-of-boston/majors,cv_unresolved,0,,,ethnic,Black,racial,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
455099,Urshan Graduate School of Theology,,Wentzville,Missouri,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494685,Urshan University,urshan.edu/,Wentzville,Missouri,Private not-for-profit,Professions-focused Baccalaureate Small,Not Classified,"Not classified, not in classification universe",Baccalaureate,Professions-focused,N/A,Very Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://urshan.edu/,score=54;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=1;canonicalHub=0;flags=,429_rate_limited_seen,https://urshan.edu/,1,programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/urshan-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206349,Ursuline College,www.ursuline.edu/,Pepper Pike,Ohio,Private not-for-profit,Special Focus: Nursing,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Special Focus: Nursing,Special Focus: Other Health Professions,Small,Primarily residential,Master's,Not Classified,Not Classified,https://www.ursuline.edu/academics/programs,score=893;tier=inventory;hubSig=5;listingLinks=56;slugDiv=56;structHits=4;ctrlStructured=7;canonicalHub=1;flags=,exceptions_seen,https://www.ursuline.edu/academics/programs/|https://www.ursuline.edu/academics/undergraduate/find-an-undergraduate-program|https://www.ursuline.edu/academics/find-a-program|https://www.ursuline.edu/academics/programs/dnp-nurse-anesthesia|https://www.ursuline.edu/academics/healthcare,1,bachelor|degrees|minors|programs,1,1,Africana Studies: Undergraduate,,7,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ursuline-college/majors,cv_unresolved,0,,African|Africana,,,,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
446604,Uta Mesivta of Kiryas Joel,utam.edu/,Monroe,New York,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Baccalaureate,Special Focus:  Theological Studies,N/A,Small,Residential,Bachelor's,Not Classified,Not Classified,https://utam.edu/,score=58;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=2;canonicalHub=0;flags=,exceptions_seen,https://utam.edu/,1,programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/uta-mesivta-of-kiryas-joel/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
230728,Utah State University,www.usu.edu/,Logan,Utah,Public,Mixed Undergraduate/Graduate-Doctorate Large,"Lower Access, Medium Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Mixed,Professions-focused,Large,Residential,Doctorate,Classified,Not Classified,https://www.usu.edu/degrees-majors/browse/,score=172;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=18;canonicalHub=0;flags=,exceptions_seen,https://www.usu.edu/degrees-majors/browse/?l=undergraduate|https://www.usu.edu/degrees-majors/biological-science-composite-teaching_bs_ba|https://www.usu.edu/degrees-majors/anthropology_bs_ba|https://www.usu.edu/degrees-majors/art-history_ba|https://www.usu.edu/degrees-majors/applied-economics_bs,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,"Race, Society, Environment - Minor",,18,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/utah-state-university/majors,passed_ctrl_thresh,0,,,Ethnic,,Race|race,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230171,Utah Tech University,utahtech.edu/,Saint George,Utah,Public,Special Focus: Arts and Sciences,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,Special Focus: Business,Medium,Residential,Bachelor's,Not Classified,Not Classified,https://catalog.utahtech.edu/programs/,score=1026;tier=inventory;hubSig=6;listingLinks=36;slugDiv=35;structHits=6;ctrlStructured=14;canonicalHub=1;flags=,exceptions_seen,https://online.utahtech.edu/programs/|https://online.utahtech.edu/programs|https://catalog.utahtech.edu/programs/engineering/computer-engineering-bs/index.html|https://catalog.utahtech.edu/programs/engineering/computer-engineering-bs/|https://catalog.utahtech.edu/programs/engineering/electrical-engineering-bs/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,14,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/utah-tech-university/majors,passed_ctrl_thresh,0,,,,,,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
230737,Utah Valley University,www.uvu.edu/,Orem,Utah,Public,Mixed Undergraduate/Graduate-Master's Large/Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Professions-focused,Very Large,"Mostly full-time, not residential",Master's,Classified,Not Classified,https://www.uvu.edu/catalog/2526,score=238;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=2;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.uvu.edu/catalog/20252026|https://www.uvu.edu/online/programs/index.html|https://www.uvu.edu/catalog/|https://www.uvu.edu/catalog|https://www.uvu.edu/accreditation-academic-assessment/specialized-accreditation.html,1,BA|BS|bachelor|degrees|programs,1,0,,,4,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/utah-valley-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
197045,Utica University,www.utica.edu/,Utica,New York,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Lower Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Primarily residential,Doctorate,Not Classified,Not Classified,https://www.utica.edu/academics/programs,score=1032;tier=inventory;hubSig=6;listingLinks=146;slugDiv=146;structHits=7;ctrlStructured=13;canonicalHub=1;flags=,exceptions_seen,https://www.utica.edu/academics/programs?undergrad_paths%5B15%5D=15&undergrad_paths%5B16%5D=16&undergrad_paths%5B17%5D=17&undergrad_paths%5B18%5D=18|https://www.utica.edu/programs|https://www.utica.edu/programs/|https://www.utica.edu/academics/programs/|https://www.utica.edu/academics/programs?grad_paths%5B19%5D=19&grad_paths%5B20%5D=20&grad_paths%5B21%5D=21,1,BA|BS|bachelor|degrees|majors|minors|programs,1,5,Africana Studies|Africana Studies (minor)|Africana Studies Faculty|Africana Studies at Utica|Full Africana Studies Curriculum and Learning Objectives,,13,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/utica-university/majors,passed_ctrl_thresh,0,,Africa|African|Africana,,Black,Race,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
