unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
444556,Auguste Escoffier School of Culinary Arts-Austin,www.escoffier.edu/,Austin,Texas,Private for-profit,Special Focus: Applied and Career Studies,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.escoffier.edu/programs,score=424;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,429_rate_limited_seen,https://www.escoffier.edu/programs/|https://www.escoffier.edu/|https://www.escoffier.edu/academics/|https://www.escoffier.edu/admissions-aid/|https://www.escoffier.edu/admissions-aid/financing-your-culinary-education/,1,bachelor|degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/auguste-escoffier-school-of-culinary-arts-austin/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
454810,Auguste Escoffier School of Culinary Arts-Boulder,www.escoffier.edu/,Boulder,Colorado,Private for-profit,Special Focus: Applied and Career Studies,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Medium,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.escoffier.edu/programs/,score=424;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.escoffier.edu/programs|https://www.escoffier.edu/wp-content/uploads/2025/04/Austin-Auguste-Escoffier-School-of-Culinary-Arts_2025-2026-Catalog-TWC-Approved-04.25.2025.pdf|https://www.escoffier.edu/download-a-catalog/|https://www.escoffier.edu/wp-content/uploads/2025/10/AESCA-Boulder-Catalog-DPOS-APPROVED-10-2-25-Clean.pdf|https://www.escoffier.edu/holistic-nutrition-and-wellness/,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,4,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/auguste-escoffier-school-of-culinary-arts-boulder/majors,cv_unresolved,0,,,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
201177,Aultman College of Nursing and Health Sciences,www.aultmancollege.edu/,Canton,Ohio,Private not-for-profit,Special Focus: Nursing,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Nursing,N/A,Very Small,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143118,Aurora University,aurora.edu/,Aurora,Illinois,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Residential,Doctorate,Not Classified,Not Classified,https://catalog.aurora.edu/,score=84;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=1;canonicalHub=0;flags=yearHit,exceptions_seen,,1,degrees|majors|minors|programs,1,1,Office of Black Student Initiatives,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/aurora-university/majors,cv_unresolved,0,,,,Black,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222983,Austin College,www.austincollege.edu/,Sherman,Texas,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Arts and Sciences,Professions-focused,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.austincollege.edu/academics/majors,score=496;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=14;canonicalHub=1;flags=,exceptions_seen,https://www.austincollege.edu/academics/majors/|https://www.austincollege.edu/academics/majors-and-minors/art|https://www.austincollege.edu/academics/majors-and-minors/austin-teacher-program/details|https://www.austincollege.edu/academics/majors-and-minors/austin-teacher-program|https://www.austincollege.edu/academics/majors-and-minors/engineering,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,15,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/austin-college/majors,passed_ctrl_thresh,0,,,,,race,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
222992,Austin Community College District,www.austincc.edu/,Austin,Texas,Public,Mixed Associate Large,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Very Large,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,https://www.austincc.edu/programs,score=460;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=5;canonicalHub=1;flags=,429_rate_limited_seen,https://www.austincc.edu/programs/|https://www.austincc.edu/catalog/2526|https://www.austincc.edu/academics/catalog/2526|https://www.austincc.edu/catalog/20252026|https://www.austincc.edu/catalog/,1,bachelor|degrees|majors|programs,1,0,,,5,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/austin-community-college-district/majors,cv_unresolved,0,,,,,,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
219602,Austin Peay State University,www.apsu.edu/,Clarksville,Tennessee,Public,Mixed Undergraduate/Graduate-Master's Large/Medium,"Higher Access, Medium Earnings",Research Colleges and Universities,Undergraduate/Graduate-Master's,Mixed,Professions-focused,Medium,Residential,Master's,Not Classified,Not Classified,https://www.apsu.edu/programs/,score=510;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=5;ctrlStructured=15;canonicalHub=1;flags=,exceptions_seen,https://www.apsu.edu/programs|https://www.apsu.edu/azindex/index.php|https://www.apsu.edu/behavioral-health/|https://www.apsu.edu/academics/index.php|https://www.apsu.edu/business/,1,bachelor|degrees|majors|minors|programs,1,5,2024-2025 African American Studies Minor Requirements|African American Cultural Center|African American Studies|African American Studies Program|Wilbut N Daniel African American Cultural Center,,15,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/austin-peay-state-university/majors,cv_unresolved,0,,African,ethnicity,Black|black,race,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
223001,Austin Presbyterian Theological Seminary,www.austinseminary.edu/,Austin,Texas,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.austinseminary.edu/academics/registrar/academic-catalogue,score=154;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=0;flags=,exceptions_seen,https://www.austinseminary.edu/about/news|https://www.austinseminary.edu/about|https://www.austinseminary.edu/academics/degree-programs/mdiv-mssw-dual-degree|https://www.austinseminary.edu/lifelong-learning/lectures/settles-lecture|https://www.austinseminary.edu/library/alumni-resources,1,BA|bachelor|degrees|majors|programs,1,1,Black History Month at Austin Seminary,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/austin-presbyterian-theological-seminary/majors,cv_unresolved,0,,African,ethnic,Black,racial,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
442295,Ave Maria School of Law,www.avemarialaw.edu/,Naples,Florida,Private not-for-profit,Special Focus: Law,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Law,Special Focus: Law,Very Small,Graduate-focused,Doctorate,Not Classified,Not Classified,https://www.avemarialaw.edu/programs/,score=424;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,403_forbidden_seen,https://www.avemarialaw.edu/academics/programs|https://www.avemarialaw.edu/programs|https://www.avemarialaw.edu/academics/programs/|https://www.avemarialaw.edu/legal-research-library-catalog/|https://www.avemarialaw.edu/law-review/,1,degrees|majors|minors|programs,1,0,,,6,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ave-maria-school-of-law/majors,cv_unresolved,0,,AFRICAN,,BLACKSTONE|Black,,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
446048,Ave Maria University,www.avemaria.edu/,Ave Maria,Florida,Private not-for-profit,Mixed Baccalaureate,"Lower Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Mixed,Special Focus:  Theological Studies,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.avemaria.edu/programs/,score=309;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=1;canonicalHub=1;flags=grad,exceptions_seen,https://www.avemaria.edu/academics/majors-minors|https://www.avemaria.edu/programs|https://www.avemaria.edu/academics/majors-minors/|https://www.avemaria.edu/academics/programs|https://www.avemaria.edu/academics/programs/,1,degrees|majors|minors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ave-maria-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231420,Averett University,www.averett.edu/,Danville,Virginia,Private not-for-profit,Professions-focused Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Small,Primarily residential,Master's,Classified,Not Classified,https://www.averett.edu/,score=84;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=1;canonicalHub=0;flags=,429_rate_limited_seen,https://www.averett.edu/student-tools/|https://www.averett.edu/student-life/housing-and-residence-life/|https://www.averett.edu/student-tools/accomodations/|https://www.averett.edu/wp-content/uploads/901.2-Minors-on-Campus-Policy-2024.pdf,1,BA|BS|degrees|majors|minors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/averett-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
