unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience,nces_profile_xlsx_downloaded,nces_profile_xlsx_filename,nces_profile_xlsx_dir,nces_profile_xlsx_parse_ok,nces_profile_xlsx_error,tuition_fees_ug_2024_25,tuition_fees_grad_2024_25,enrollment_total,enrollment_men,enrollment_women,pct_American Indian or Alaska Native,pct_Asian,pct_Black or African American,pct_Hispanic,pct_Native Hawaiian or Other Pacific Islander,pct_White,pct_Two or more races,pct_Race/ethnicity unknown,pct_U.S. Nonresident
445735,Roseman University of Health Sciences,www.roseman.edu/,Henderson,Nevada,Private not-for-profit,Special Focus: Medical Schools and Centers,Not Classified,Research Colleges and Universities,Undergraduate/Graduate-Doctorate,Special Focus: Medical Schools and Centers,Special Focus: Medical Schools and Centers,Small,Graduate-focused,Doctorate,Not Classified,Not Classified,https://www.roseman.edu/academic-programs/,score=444;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.roseman.edu/academic-programs/college-of-pharmacy/doctor-of-pharmacy/fast-track-bs-pharmd-in-partnership-with-nevada-state-university/|https://www.roseman.edu/academic-programs/college-of-nursing/accelerated-bachelor-of-science-in-nursing/curriculum/|https://www.roseman.edu/academic-programs/college-of-nursing/accelerated-bachelor-of-science-in-nursing/online-absn/|https://www.roseman.edu/academic-programs/college-of-nursing/accelerated-bachelor-of-science-in-nursing/|https://www.roseman.edu/academic-programs/college-of-pharmacy/doctor-of-pharmacy/,1,BS|bachelor|degrees|majors|programs,1,0,,,7,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/american-university-of-health-sciences/majors,cv_unresolved,0,,,,,race,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/445735/1772819549629,1,,44900,29400,1367,506,861,0.1,30.9,4.3,9.5,0.4,38.8,12.0,3.1,0.8
215691,Rosemont College,www.rosemont.edu/,Rosemont,Pennsylvania,Private not-for-profit,Mixed Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Professions-focused,Small,Residential,Master's,Not Classified,Not Classified,https://www.rosemont.edu/academics/programs,score=498;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=7;canonicalHub=1;flags=,exceptions_seen,https://www.rosemont.edu/programs/|https://www.rosemont.edu/academics/programs/|https://www.rosemont.edu/programs|https://www.rosemont.edu/catalog/20252026|https://www.rosemont.edu/catalog/2526,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,7,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/rosemont-college/majors,cv_unresolved,0,,,,,,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/215691/1772819553116,1,,23854,12780,781,336,445,0.0,0.5,16.1,5.2,0.1,19.8,1.3,56.3,0.5
490832,Ross College-Canton,rosseducation.edu/,Canton,Ohio,Private for-profit,Special Focus: Nursing,Not Classified,"Not classified, not in classification universe",Associate,Special Focus: Nursing,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://rosseducation.edu/programs,score=590;tier=inventory;hubSig=2;listingLinks=22;slugDiv=11;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://rosseducation.edu/academics/programs|https://rosseducation.edu/academics/programs/|https://rosseducation.edu/programs/|https://rosseducation.edu/our-school/catalogs/|https://rosseducation.edu/catalog,0,degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ross-college-canton/majors,cv_unresolved,0,,,ethnic,,race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/490832/1772819556601,1,,,,785,35,750,0.0,0.5,36.7,6.8,0.0,29.0,8.5,18.3,0.1
373085,Ross College-Davenport,rosseducation.edu/,Davenport,Iowa,Private for-profit,Special Focus: Applied and Career Studies,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://rosseducation.edu/academics/programs,score=590;tier=inventory;hubSig=2;listingLinks=22;slugDiv=11;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://rosseducation.edu/programs/|https://rosseducation.edu/academics/programs/|https://rosseducation.edu/programs|https://rosseducation.edu/our-school/catalogs/|https://rosseducation.edu/catalog,0,degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ross-college-davenport/majors,cv_unresolved,0,,,ethnic,,race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/373085/1772819560006,1,,,,42,2,40,0.0,0.0,42.9,11.9,0.0,28.6,14.3,2.4,0.0
421513,Ross College-Hopkinsville,rosseducation.edu/,Hopkinsville,Kentucky,Private for-profit,Special Focus: Applied and Career Studies,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://rosseducation.edu/programs/,score=590;tier=inventory;hubSig=2;listingLinks=22;slugDiv=11;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://rosseducation.edu/academics/programs/|https://rosseducation.edu/academics/programs|https://rosseducation.edu/programs|https://rosseducation.edu/our-school/catalogs/|https://rosseducation.edu/catalog,0,degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ross-college-hopkinsville/majors,cv_unresolved,0,,,ethnic,,race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/421513/1772819563449,1,,,,90,3,87,0.0,0.0,46.7,11.1,0.0,36.7,3.3,2.2,0.0
452081,Ross College-Sylvania,rosseducation.edu/,Sylvania,Ohio,Private for-profit,Special Focus: Applied and Career Studies,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Small,Primarily online,Associate,Not Classified,Not Classified,https://rosseducation.edu/academics/programs,score=590;tier=inventory;hubSig=2;listingLinks=22;slugDiv=11;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://rosseducation.edu/programs|https://rosseducation.edu/academics/programs/|https://rosseducation.edu/programs/|https://rosseducation.edu/our-school/catalogs/|https://rosseducation.edu/catalog,0,degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/ross-college-sylvania/majors,cv_unresolved,0,,,ethnic,,race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/452081/1772819566861,1,,,,1714,53,1661,0.3,0.2,38.7,6.5,0.2,30.2,11.2,12.5,0.1
183877,Rowan College at Burlington County,www.rcbc.edu/,Mount Laurel,New Jersey,Public,Mixed Associate Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,Online and on-campus learning,Associate,Not Classified,Not Classified,https://www.rcbc.edu/departments,score=446;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=4;canonicalHub=1;flags=,exceptions_seen,https://www.rcbc.edu/programs-courses|https://www.rcbc.edu/degrees|https://www.rcbc.edu/rowan/3plus1|https://www.rcbc.edu/online-courses|https://www.rcbc.edu/academics/science-mathematics,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/rowan-college-at-burlington-county/majors,cv_unresolved,0,,,,Blackboard,,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/183877/1772819570261,1,,,,6620,2594,4026,0.2,5.1,21.4,18.2,0.2,46.2,4.5,2.5,1.6
184205,Rowan College of South Jersey-Cumberland Campus,rcsj.edu/,Vineland,New Jersey,Public,Mixed Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://rcsj.edu/workforce/catalogs/gloucester,score=160;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://rcsj.edu/workforce/catalogs/cumberland|https://rcsj.edu/Workforce-site/Catalogs-site|https://rcsj.edu/Publications-site/Documents/Academic-Catalog-CC.pdf|https://rcsj.edu/Workforce/Catalogs|https://rcsj.edu/Publications-site/Documents/RCSJ-Academic-Catalog.pdf,1,BA|BS|degrees|majors|programs,1,1,​CT​E Black ​​B​oard​​ ​,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/rowan-college-of-south-jersey-cumberland-campus/majors,cv_unresolved,0,,,,Black|Blackboard|black,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/184205/1772819574068,1,,,,2686,955,1731,0.2,2.0,12.4,39.0,0.1,37.9,4.1,4.2,0.1
184791,Rowan College of South Jersey-Gloucester Campus,rcsj.edu/,Sewell,New Jersey,Public,Professions-focused Associate Large/Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://rcsj.edu/workforce/catalogs/gloucester,score=160;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://rcsj.edu/workforce/catalogs/cumberland|https://rcsj.edu/Workforce-site/Catalogs-site|https://rcsj.edu/Workforce/Catalogs|https://rcsj.edu/Publications-site/Documents/Academic-Catalog-CC.pdf|https://rcsj.edu/Publications-site/Documents/RCSJ-Academic-Catalog.pdf,1,BA|BS|degrees|majors|programs,1,1,​CT​E Black ​​B​oard​​ ​,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/rowan-college-of-south-jersey-gloucester-campus/majors,cv_unresolved,0,,,,Black|Blackboard|black,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-52.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/184791/1772819577501,1,,,,5218,2063,3155,0.1,3.4,11.3,11.9,0.1,53.2,3.9,14.9,1.0
199494,Rowan-Cabarrus Community College,www.rccc.edu/,Salisbury,North Carolina,Public,Mixed Associate Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.rccc.edu/catalog/2526,score=210;tier=catalog;hubSig=0;listingLinks=2;slugDiv=1;structHits=1;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.rccc.edu/catalog/20252026|https://www.rccc.edu/catalog/|https://www.rccc.edu/catalog|https://www.rccc.edu/advocacyservices/|https://www.rccc.edu/accessibility/,1,bachelor|degrees|majors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/rowan-cabarrus-community-college/majors,cv_unresolved,0,,,,Blackboard,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-12-53.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/199494/1772819581062,1,,,,7028,2698,4330,0.5,3.9,19.2,16.6,0.1,52.2,3.0,2.8,1.6
